time,Power
2016-09-08,3903.5625503193
2016-09-09,3913.3215916938
2016-09-10,3765.7195764804
2016-09-11,3802.0629363948
2016-09-12,3651.0824743371
2016-09-13,3628.3188947643
2016-09-14,3225.5636854716
2016-09-15,3706.2386514153004
2016-09-16,3813.4272650463
2016-09-17,3828.8631025755003
2016-09-18,3721.0999265550004
2016-09-19,3607.3642571208
2016-09-20,3627.1660586733
2016-09-21,3376.3707323379
2016-09-22,3030.8785197075
2016-09-23,3009.2817629061
2016-09-24,3356.4519279720002
2016-09-25,3269.8484279307004
2016-09-26,3438.1248248952
2016-09-27,3339.1499311467
2016-09-28,3471.4434036744
2016-09-29,3234.9449458854
2016-09-30,3289.2820897662
2016-10-01,3347.863679754
2016-10-02,3087.8244092619
2016-10-03,2950.2220152339
2016-10-04,3210.2292833919
2016-10-05,3136.239993348
2016-10-06,2810.1746944557003
2016-10-07,3057.0421309758
2016-10-08,3118.9903862436
2016-10-09,3037.5846703521
2016-10-10,2795.0556750138003
2016-10-11,3229.4801020185
2016-10-12,3420.3318128892
2016-10-13,3267.2740854006
2016-10-14,3267.7010043282003
2016-10-15,3226.7927487312
2016-10-16,3263.6313236637
2016-10-17,3046.3423308153
2016-10-18,3217.2247921176004
2016-10-19,2855.1182752719
2016-10-20,2224.4339720592
2016-10-21,2634.0601168629
2016-10-22,2643.4789240365
2016-10-23,2989.0827558999
2016-10-24,2554.208309664
2016-10-25,2728.5477089013
2016-10-26,2654.8739213238
2016-10-27,2473.3181687346
2016-10-28,3054.8689471872003
2016-10-29,2574.1192522122
2016-10-30,2701.7047261809
2016-10-31,2367.374539761
2016-11-01,2426.6431583955
2016-11-02,2552.1382325043
2016-11-03,2481.827150385
2016-11-04,2534.8951143153004
2016-11-05,1736.6660565012
2016-11-06,1697.8382346717
2016-11-07,2024.3129484501
2016-11-08,2586.7359030942002
2016-11-09,2562.924944448
2016-11-10,2213.10804231
2016-11-11,2088.0316985022
2016-11-12,1012.6053363393
2016-11-13,2386.0157686398
2016-11-14,2215.1724033087003
2016-11-15,2181.2856892002
2016-11-16,2196.9569065653
2016-11-17,2141.0282182608
2016-11-18,2451.4053900138
2016-11-19,2204.2381987296003
2016-11-20,2009.4719523417
2016-11-21,1706.9260832019002
2016-11-22,1947.9302030232
2016-11-23,2175.5887250922
2016-11-24,1852.9583171121
2016-11-25,2126.7055149318003
2016-11-26,2019.3252338160003
2016-11-27,2064.6868180257
2016-11-28,2238.9942013164
2016-11-29,2153.5639022106
2016-11-30,2007.1546513821002
2016-12-01,1852.0512475212001
2016-12-02,2280.0118003542
2016-12-03,2068.0990496793
2016-12-04,2196.2950228197
2016-12-05,2228.2025766759
2016-12-06,1865.5746561045
2016-12-07,2043.4027938192
2016-12-08,1762.2814530816001
2016-12-09,1745.3546741466002
2016-12-10,1041.2865754533
2016-12-11,1722.9170493711001
2016-12-12,1582.1000723979
2016-12-13,1734.3235124127002
2016-12-14,2092.2141128823
2016-12-15,2214.4208661135
2016-12-16,1992.0033412389
2016-12-17,2077.3009652967003
2016-12-18,1935.1108245546002
2016-12-19,1945.1953388439001
2016-12-20,2078.3518909164
2016-12-21,2080.0250201709
2016-12-22,2186.2776928608
2016-12-23,2163.6914055372
2016-12-24,2059.8757037991
2016-12-25,2127.651456051
2016-12-26,2141.9515106847
2016-12-27,1891.0754914095
2016-12-28,2098.6165602666
2016-12-29,1593.0669730041
2016-12-30,1374.1495752600001
2016-12-31,1528.8001185798
2017-01-01,1774.0633474575002
2017-01-02,839.9888985609001
2017-01-03,496.45894533840004
2017-01-04,685.6261122744
2017-01-05,1019.2598036973001
2017-01-06,1584.8568075087
2017-01-07,2038.488775191
2017-01-08,2081.4225247233003
2017-01-09,1741.6095179868
2017-01-10,2043.2049939576
2017-01-11,2469.4007455161
2017-01-12,2390.4868540509
2017-01-13,2237.9908730553
2017-01-14,807.3668738025
2017-01-15,352.3995781317
2017-01-16,2408.6390962293
2017-01-17,2391.160641111
2017-01-18,2165.1334696827003
2017-01-19,2522.0891506932003
2017-01-20,2619.3342450429
2017-01-21,1589.6313644409001
2017-01-22,2300.7096195633003
2017-01-23,1915.4208120102
2017-01-24,807.1222463964
2017-01-25,1648.6369118208002
2017-01-26,1033.5447684936
2017-01-27,2140.2195684606004
2017-01-28,2489.517414648
2017-01-29,2186.7435200160003
2017-01-30,2376.1694773476
2017-01-31,2210.4490882914
2017-02-01,2314.4864093703
2017-02-02,1882.1076811713
2017-02-03,1822.7388801996
2017-02-04,844.9487733456001
2017-02-05,3079.3991051736
2017-02-06,3046.6119771252
2017-02-07,2451.1812590034
2017-02-08,2917.7167683015
2017-02-09,3019.6958293953003
2017-02-10,3067.2122331510004
2017-02-11,3134.3729015412
2017-02-12,2720.5642943325
2017-02-13,2965.9474190610003
2017-02-14,2376.9297501741003
2017-02-15,2670.0214383711
2017-02-16,1463.7064533201
2017-02-17,2688.2046657576
2017-02-18,2426.7301611102002
2017-02-19,2581.5548297583
2017-02-20,3118.4789629851
2017-02-21,3268.7446045716
2017-02-22,3240.7029013986003
2017-02-23,3206.4326308179
2017-02-24,3237.55822071
2017-02-25,3215.1909368403
2017-02-26,3333.1956623658
2017-02-27,3003.5117233044
2017-02-28,3003.2336578266
2017-03-01,3546.8497213182004
2017-03-02,3334.0693892814
2017-03-03,2825.969896431
2017-03-04,3441.2832015012
2017-03-05,3288.5014146336002
2017-03-06,1801.0889081064001
2017-03-07,2409.5343531105
2017-03-08,3558.2873157117
2017-03-09,3175.8807853674
2017-03-10,3546.4225150035
2017-03-11,3384.0636563745
2017-03-12,3285.9969066243
2017-03-13,3734.1089831232002
2017-03-14,2915.9351189991003
2017-03-15,2841.1486372863
2017-03-16,3654.4808147067
2017-03-17,3509.3120567373003
2017-03-18,3426.6426667704
2017-03-19,3476.3443031196
2017-03-20,3693.8307412512004
2017-03-21,3430.7699357151
2017-03-22,3092.8054165272
2017-03-23,2999.0172386592
2017-03-24,3518.4356385156
2017-03-25,3202.4852512785
2017-03-26,3610.7329319325004
2017-03-27,3353.5307067075
2017-03-28,3378.8534025213003
2017-03-29,3269.0919415572002
2017-03-30,3596.7402515781
2017-03-31,3592.1514225069
2017-04-01,3570.1720206174
2017-04-02,3924.3052486341003
2017-04-03,3589.4277115389
2017-04-04,3522.2714057916005
2017-04-05,3463.4428971417
2017-04-06,4229.9370784935
2017-04-07,4306.4029746243
2017-04-08,4482.4370698899
2017-04-09,4485.8204037306
2017-04-10,4386.1006115487
2017-04-11,4289.0948628462
2017-04-12,4145.5571103045
2017-04-13,4224.517397199
2017-04-14,3911.2328399265
2017-04-15,4057.6196379708003
2017-04-16,4201.4866318029
2017-04-17,4169.5514456607
2017-04-18,4155.2342672643
2017-04-19,4150.4130679176005
2017-04-20,3947.4902713158003
2017-04-21,3969.7101476010002
2017-04-22,2919.4247276964
2017-04-23,3852.0777541158004
2017-04-24,4182.1116207849
2017-04-25,4096.3669516638
2017-04-26,4001.4308887344
